αγγούρι | λαχανικό
πράσινο | χρώμα
πράσο | λαχανικό
πυροσβέστης | επάγγελμα
ράγκμπι | άθλημα
ραδίκια | λαχανικό
ρινόκερος | ζώο
ροδακινιά | δέντρο
ροδάκινο | φρούτο
ροδιά | δέντρο
ροζ | χρώμα
ρουμανία | χώρα
ροφός | ζώο
ρύζι | τρόφιμο
σαλιγκάρι | ζώο
σαξόφωνο | μουσικό όργανο
σαρδέλα | ζώο
σέλινο | λαχανικό
σεπτέμβριος | μήνας
σερφ | άθλημα
σινεμά | κτίριο
σκι | άθλημα
σκίουρος | ζώο
σκόρδο | λαχανικό
σκύλος | ζώο
σλοβενία | χώρα
σολομός | ζώο
σουηδία | χώρα
σουπερμάρκετ | κτίριο
σπανάκι | λαχανικό
στάδιο | κτίριο
σταφύλι | φρούτο
στίβος | άθλημα
στυλό | σχολικό αντικείμενο
συγγραφέας | επάγγελμα
συκιά | δέντρο
συννεφιά | καιρός
σφουγγάρι | ζώο
σχολείο | κτίριο
ταμίας | επάγγελμα
τέμπερες | σχολικό αντικείμενο
τένις | άθλημα
τετράδιο | σχολικό αντικείμενο
τεχνικός | επάγγελμα
τζούντο | άθλημα
τίγρη | ζώο
τόνος | ζώο
τοξοβολία | άθλημα
τούμπα | μουσικό όργανο
τράπεζα | κτίριο
τρένο | όχημα
τρομπέτα | μουσικό όργανο
τσάντα | σχολικό αντικείμενο
τύμπανα | μουσικό όργανο
τυρί | τρόφιμο
τυφώνας | καιρός
υγρασία | καιρός
υδραυλικός | επάγγελμα
υποβρύχιο | όχημα
φακές | λαχανικό
φάλαινα | ζώο
φασολάκι | λαχανικό
φεβρουάριος | μήνας
φίδι | ζώο
φλάουτο | μουσικό όργανο
φλογέρα | μουσικό όργανο
φοίνικας | δέντρο
φράουλα | φρούτο
φυσαρμόνικα | μουσικό όργανο
φιστικιά | δέντρο
φώκια | ζώο
φωτογράφος | επάγγελμα
χαλάζι | καιρός
χαμαιλέοντας | ζώο
χάμστερ | ζώο
χάρακας | σχολικό αντικείμενο
χαρτί | σχολικό αντικείμενο
χαρτόνι | σχολικό αντικείμενο
χειροσφαίριση | άθλημα
χελώνα | ζώο
χιόνι | καιρός
χόκεϊ | άθλημα
χταπόδι | ζώο
ψαλίδι | σχολικό αντικείμενο
ψάρι | ζώο
ψάρι | τρόφιμο
ψωμί | τρόφιμο
